candidate_id,rank,score,reasoning
CAND_0081846,1,0.965209,"Lead AI Engineer at Razorpay, 6.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.73"
CAND_0046064,2,0.922173,"Senior NLP Engineer at Salesforce, 8.9 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.78"
CAND_0018499,3,0.922023,"Senior Machine Learning Engineer at Zomato, 7.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.61"
CAND_0033861,4,0.918865,"Senior NLP Engineer at Mad Street Den, 8.0 yrs exp | career history shows ranking/search/reco systems built | response rate 0.16"
CAND_0011687,5,0.917853,"Senior NLP Engineer at Niramai, 7.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.89"
CAND_0002025,6,0.914905,"Senior AI Engineer at Apple, 5.9 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.80"
CAND_0008425,7,0.909551,"Senior NLP Engineer at Ola, 7.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.66"
CAND_0077337,8,0.907107,"Staff Machine Learning Engineer at Paytm, 7.0 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.95"
CAND_0046525,9,0.900918,"Senior Machine Learning Engineer at Genpact AI, 6.1 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.88"
CAND_0080766,10,0.889756,"Staff Machine Learning Engineer at Salesforce, 8.8 yrs exp | career history shows ranking/search/reco systems built | response rate 0.66"
CAND_0005260,11,0.886402,"Senior NLP Engineer at Netflix, 5.2 yrs exp | career history shows ranking/search/reco systems built | response rate 0.86"
CAND_0088025,12,0.884895,"Staff Machine Learning Engineer at Yellow.ai, 8.6 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.83"
CAND_0041611,13,0.883058,"Staff Machine Learning Engineer at Locobuzz, 6.4 yrs exp | career history shows ranking/search/reco systems built | response rate 0.07"
CAND_0086022,14,0.880073,"Senior Applied Scientist at Sarvam AI, 5.3 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.55"
CAND_0060054,15,0.869524,"AI Engineer at Mad Street Den, 6.4 yrs exp | career history shows ranking/search/reco systems built | response rate 0.86"
CAND_0094759,16,0.862706,"Lead AI Engineer at Meta, 8.6 yrs exp | career history shows ranking/search/reco systems built | response rate 0.11"
CAND_0007411,17,0.85989,"Senior Machine Learning Engineer at Amazon, 8.0 yrs exp | career history shows ranking/search/reco systems built | response rate 0.12"
CAND_0079387,18,0.859477,"AI Engineer at Microsoft, 6.9 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.81"
CAND_0057563,19,0.855355,"NLP Engineer at Locobuzz, 6.8 yrs exp | career history shows ranking/search/reco systems built | response rate 0.83"
CAND_0086151,20,0.85305,"Recommendation Systems Engineer at Wysa, 7.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.52 | concern: long notice period (120 days)"
CAND_0044222,21,0.85212,"AI Engineer at PolicyBazaar, 7.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.60"
CAND_0028793,22,0.850781,"Search Engineer at Google, 7.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.57 | concern: long notice period (120 days)"
CAND_0030953,23,0.846925,"Search Engineer at Nykaa, 7.8 yrs exp | career history shows ranking/search/reco systems built | response rate 0.63"
CAND_0054123,24,0.844651,"Applied ML Engineer at Meta, 4.7 yrs exp | career history shows ranking/search/reco systems built | response rate 0.87"
CAND_0092278,25,0.841022,"Senior NLP Engineer at Microsoft, 6.8 yrs exp | career history shows ranking/search/reco systems built | response rate 0.07"
CAND_0075249,26,0.839992,"Applied ML Engineer at Zomato, 6.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.82"
CAND_0044883,27,0.839458,"AI Engineer at Mad Street Den, 6.3 yrs exp | career history shows ranking/search/reco systems built | response rate 0.84"
CAND_0066376,28,0.83783,"Applied ML Engineer at Dream11, 5.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.51"
CAND_0044855,29,0.837729,"Senior Data Scientist at Flipkart, 6.6 yrs exp | career history shows ranking/search/reco systems built | response rate 0.57"
CAND_0043228,30,0.836162,"Applied ML Engineer at Zoho, 6.8 yrs exp | career history shows ranking/search/reco systems built | recently active on platform | response rate 0.41"
CAND_0027691,31,0.832935,"NLP Engineer at Haptik, 6.5 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.68"
CAND_0005649,32,0.832104,"Senior Data Scientist at Sarvam AI, 7.4 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.57"
CAND_0001610,33,0.831531,"Machine Learning Engineer at Dream11, 3.0 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.57 | concern: under-experienced for this role (3.0 yrs)"
CAND_0026532,34,0.830198,"Recommendation Systems Engineer at Zomato, 4.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.52"
CAND_0061265,35,0.829817,"Recommendation Systems Engineer at Zoho, 6.6 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.94 | concern: long notice period (120 days)"
CAND_0083307,36,0.824664,"Search Engineer at CRED, 7.8 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.70 | concern: long notice period (120 days)"
CAND_0068811,37,0.819591,"Applied ML Engineer at Freshworks, 8.0 yrs exp | career history shows ranking/search/reco systems built | open to work, active recently | response rate 0.42"
CAND_0051292,38,0.817942,"Applied ML Engineer at Freshworks, 5.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.52"
CAND_0070398,39,0.81553,"Machine Learning Engineer at Genpact AI, 7.2 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.60 | concern: long notice period (120 days)"
CAND_0010685,40,0.815056,"NLP Engineer at Rephrase.ai, 6.7 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.83"
CAND_0039383,41,0.812309,"Applied ML Engineer at Meesho, 7.1 yrs exp | career history shows ranking/search/reco systems built | open to work | response rate 0.61"
